source_id,authority,title,publication_date,source_type,primary_status,analytic_role,locator,accessed,exact_use,resolution,coverage,territoriality,limitations,supports,does_not_support
RES_281,Ministerio de Energía y Minería,Resolución 281/2017 texto actualizado,2017,legislation,primary,Reglamentación del MATER,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-281-2017-278429/actualizacion,2026-08-08,Reglamentación del MATER,según fuente,según fuente,según fuente,Precios y términos privados no son observables en la norma,Reglamentación del MATER,Precios y términos privados no son observables en la norma
RES_281_2016_ADJ,Ministerio de Energía y Minería,Resolución 281/2016,2016-11-25,legislation,primary,adjudicación RenovAr Ronda 1.5,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-281-2016-268395/texto,2026-08-10,adjudicación,proyecto,2016,nacional/MEM,no prueba habilitación,cartera Ronda 1.5,energía observada
RES_284_2023,Secretaría de Energía,Resolución 284/2023,2023-04-21,legislation,primary,rescisión de contratos renovables sin habilitación,https://www.argentina.gob.ar/normativa/nacional/norma-382608/texto,2026-08-10,condiciones de rescisión,proyecto,2023,nacional/MEM,no clasifica toda la cartera,existencia de salidas contractuales,fracaso de todo el programa
RES_311_2025,Secretaría de Energía,Resolución 311/2025,2025,legislation,primary,diagnóstico/reinicio concesional,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-311-2025-415389/texto,2026-08-10,restricciones y tres obras,norma,2025,nacional/regional,sin flujo horario,diagnóstico y estado,congestión medida/operación
RES_36_2023,Secretaría de Energía,Resolución 36/2023 RenMDI,2023-01-31,legislation,primary,convocatoria RenMDI,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-36-2023-379078/texto,2026-08-10,objetivos y renglones,norma,2023,nodos MEM,no prueba operación,diseño,generación
RES_473_2017,Ministerio de Energía y Minería,Resolución 473/2017,2017-11-30,legislation,primary,adjudicación RenovAr Ronda 2,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-473-2017-299857/texto,2026-08-10,adjudicación,proyecto,2017,nacional/MEM,no prueba habilitación,cartera Ronda 2,energía observada
RES_488_2017,Ministerio de Energía y Minería,Resolución 488/2017,2017-12-19,legislation,primary,adjudicación complementaria RenovAr Ronda 2,https://www.argentina.gob.ar/normativa/nacional/norma-304930/texto,2026-08-10,adjudicación,proyecto,2017,nacional/MEM,no prueba habilitación,cartera Ronda 2,energía observada
RES_507_2023,Secretaría de Energía,Resolución 507/2023,2023-06-13,legislation,primary,planes de expansión transporte,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-507-2023-384993/texto,2026-08-10,planes aprobados,plan,2023,nacional,no prueba ejecución,priorización,obra
RES_609_2023,Secretaría de Energía,Resolución 609/2023 RenMDI,2023-07-06,legislation,primary,adjudicación RenMDI,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-609-2023-386840/texto,2026-08-10,"98 proyectos y 633,7 MW adjudicados",proyecto,2023,nodos MEM,no prueba habilitación,cartera adjudicada,energía u operación
RES_712_2009,Secretaría de Energía,Resolución 712/2009,2009-10-09,legislation,primary,GENREN/contratos MEM,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-712-2009-158789/texto,2026-08-10,mecanismo contractual,norma,2009,nacional/MEM,sin estados por proyecto,habilitación del mecanismo,operación o adicionalidad
RES_715_2025,Secretaría de Energía,Resolución 715/2025,2025,legislation,primary,prioridad de obras,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-715-2025-413462/texto,2026-08-10,16 obras prioritarias,norma,2025,nacional,no prueba avance,prioridad,operación
RES_883_2023,Secretaría de Energía,Resolución 883/2023,2023,legislation,primary,"Penalidades, inversión compensatoria y contexto contractual",https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-883-2023-392465/texto,2026-08-10,"Penalidades, inversión compensatoria y contexto contractual",según fuente,según fuente,según fuente,La norma informa universos administrativos a su fecha,"Penalidades, inversión compensatoria y contexto contractual",La norma informa universos administrativos a su fecha
SHORROCKS_2013,Anthony Shorrocks,Decomposition procedures for distributional analysis,2013,academic_article,secondary_method,Descomposición Shapley,https://doi.org/10.1007/s10888-011-9214-z,2026-08-08,Descomposición Shapley,según fuente,según fuente,según fuente,Referencia metodológica; no evidencia argentina,Descomposición Shapley,Referencia metodológica; no evidencia argentina
SW_2016,Eleanor Sanderson and Frank Windmeijer,A weak instrument F-test in linear IV models with multiple endogenous variables,2016,academic_article,secondary_method,Relevancia condicional con múltiples endógenas,https://doi.org/10.1016/j.jeconom.2015.06.004,2026-08-10,Relevancia condicional con múltiples endógenas,según fuente,según fuente,según fuente,El estadístico clásico no incorpora automáticamente dependencia temporal,Relevancia condicional con múltiples endógenas,El estadístico clásico no incorpora automáticamente dependencia temporal
THAMS_2024,Nikolaj Thams et al.,Identifying Causal Effects using Instrumental Time Series: Nuisance IV and Correcting for the Past,2024,academic_article,secondary_method,Memoria temporal y condiciones IV en series,https://jmlr.org/papers/v25/22-0262.html,2026-08-10,Memoria temporal y condiciones IV en series,según fuente,según fuente,según fuente,Marco general; la suficiencia de rezagos sigue siendo específica del sistema,Memoria temporal y condiciones IV en series,Marco general; la suficiencia de rezagos sigue siendo específica del sistema
URY_RENEWABLES_2024,MIEM Uruguay,Balance energético preliminar 2024,2025-04-25,official_statistics,primary,cierre Uruguay 2024,https://www.gub.uy/ministerio-industria-energia-mineria/comunicacion/noticias/uruguay-vuelve-registrar-niveles-record-fuentes-renovables-matriz-generacion,2026-08-10,generación y participación renovable,anual,2024,Uruguay,preliminar,endpoint 2024,comparabilidad automática
WB_FODER_AF,World Bank,FODER Additional Financing Project Paper,2018,multilateral_report,primary,Precios medios RenovAr; supuestos económicos y retornos ex ante,https://documents1.worldbank.org/curated/en/182681528356012036/txt/123616-SPANISH-PUBLIC-FODER-II-Project-Paper-Spanish-No-Official-Version.txt,2026-08-08,Precios medios RenovAr; supuestos económicos y retornos ex ante,según fuente,según fuente,según fuente,Evaluación ex ante; no retorno realizado de cada proyecto,Precios medios RenovAr; supuestos económicos y retornos ex ante,Evaluación ex ante; no retorno realizado de cada proyecto
WB_FODER_ICR,World Bank,FODER Guarantee Implementation Completion and Results Report,2023,multilateral_report,primary,Garantía; movilización y resultados de implementación,https://documents1.worldbank.org/curated/en/099735001052321977/pdf/BOSIB0015e70090930ad300cbff6bf7e8b7.pdf,2026-08-08,Garantía; movilización y resultados de implementación,según fuente,según fuente,según fuente,Alcance de proyectos cubiertos por la garantía,Garantía; movilización y resultados de implementación,Alcance de proyectos cubiertos por la garantía
